Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
RL,3,0,-30.87,0,-2.33,0,-27.22,0,-7.07,,,,
HBI,1,4,0.73,4,3.2,4,4.0,4,2.4,,,,
HBI,2,2,33.1,2,5.78,2,32.08,2,5.14,,,,
HBI,3,0,-32.12,1,9.89,0,-24.82,1,7.35,,,,
GPS,1,4,40.99,4,26.54,4,21.95,0,-1.19,,,,
GPS,2,2,128.43,2,4.22,2,55.43,2,4.57,,,,
GPS,3,0,-76.94,1,7.55,0,-54.92,1,2.18,,,,
UAA,1,4,96.56,4,4.63,4,102.51,4,1.42,,,,
UAA,2,0,-18.98,2,4.64,0,-23.93,2,4.09,,,,
UAA,3,0,-36.76,1,0.35,0,-35.45,1,3.23,,,,
UA,1,4,96.56,4,4.63,4,102.51,4,1.42,,,,
UA,2,0,-18.98,2,4.64,0,-23.93,2,4.09,,,,
UA,3,0,-36.76,1,0.35,0,-35.45,1,3.23,,,,
