Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
UFAB,1,2,582.88,0,-1005.56,2,343.72,0,-5727.27,-0.97,0.0,-699.61,0.0
UFAB,2,0,-690.46,0,-475.0,0,-3280.12,0,-107.77,-207.07,0.0,-1394.56,0.0
USAS,1,0,-106.98,0,-863.48,2,262.69,0,-156.11,-214.62,0.0,-52.75,0.0
USAS,2,0,-58.08,0,-22.25,0,-17.92,1,432.86,-28.68,0.0,-344.45,0.0
UUU,1,2,47.16,0,-245.39,2,742.21,0,-186.74,-192.03,0.0,-715.19,0.0
UUU,2,1,529.01,1,133.26,0,-253.88,1,225.31,-92.62,0.0,-303.76,0.0
UUUU,1,2,1313.02,0,-511.99,2,4417.65,0,-3856.22,-46.72,0.0,-44.41,0.0
UUUU,2,0,-8.53,1,223.68,1,101.16,1,105.04,-68.75,0.0,-47.89,0.0
VOLT,1,2,301.7,0,-2119.18,2,231.39,0,-333.33,-740.43,0.0,-117.87,0.0
VOLT,2,0,-374.03,0,-95.94,0,-113.49,0,-68.85,-596.77,0.0,-75.68,0.0
XTNT,1,2,229.28,0,-83.11,2,215.2,0,-17.3,-6.25,0.0,-7.99,0.0
XTNT,2,0,-110.71,0,-32.55,0,-123.04,0,-53.47,-106.94,0.0,-6.19,0.0
XXII,1,2,367.27,0,-143.35,2,254.02,0,-103.8,-175.03,0.0,-364.25,0.0
XXII,2,0,-208.16,1,450.56,0,-214.23,1,68.25,-90.97,0.0,-303.98,0.0
ZDGE,1,2,13.55,2,155.9,2,26.42,2,139.85,514.13,2.0,-20.14,0.0
ZDGE,2,1,256.35,0,-300.6,1,242.91,0,-332.75,-166.17,0.0,-36.25,0.0
