Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Quarterly Diluted Normalized EPS Sign,Quarterly Revenue Score,Quarterly Revenue % Change,Quarterly Revenue Sign,Quarterly Gross Profit Score,Quarterly Gross Profit % Change,Quarterly Gross Profit Sign,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Sign,Annual Revenue Score,Annual Revenue % Change,Annual Revenue Sign,Annual Gross Profit Score,Annual Gross Profit % Change,Annual Gross Profit Sign
CCL,3,0,-29.83,P,1,0.15,P,1,33.08,P,0,-0.19,P,1,6.84,P,1,0.04,P
AAP,1,0,-3.86,P,4,1.62,P,4,2.88,P,4,24.21,P,4,1.34,P,4,0.76,P
AAP,2,2,251.85,P,0,-7.28,P,0,-6.56,P,2,37.99,P,2,2.21,P,2,3.45,P
AAP,3,0,-48.54,P,1,27.7,P,1,26.39,P,0,-27.77,P,0,-2.03,P,0,-4.01,P
WYNN.OQ,1,0,-18.59,N,4,332.28,P,4,154.18,P,0,-72.87,P,0,-1.59,P,0,-3.32,P
WYNN.OQ,2,0,-58.63,N,0,-91.01,P,0,-171.54,N,2,0.26,P,2,10.67,P,2,12.28,P
WYNN.OQ,3,0,-451.32,N,0,-42.32,P,0,-66.57,P,1,89.37,P,1,39.68,P,1,38.49,P
LKQ.OQ,1,4,49.29,P,4,16.04,P,4,18.55,P,4,14.77,P,4,5.3,P,4,6.05,P
LKQ.OQ,2,0,-12.42,P,0,-12.48,P,0,-16.71,P,2,9.74,P,2,21.98,P,2,20.4,P
LKQ.OQ,3,1,4.1,P,0,-0.3,P,1,1.49,P,0,-3.67,P,1,13.43,P,1,13.36,P
BWA,1,4,336.79,P,4,77.7,P,4,197.13,P,0,-27.74,P,0,-3.43,P,0,-5.76,P
BWA,2,0,-132.81,N,0,-37.43,P,0,-61.07,P,2,23.4,P,2,7.45,P,2,5.38,P
BWA,3,1,7.59,P,0,-10.94,P,0,-17.98,P,1,20.31,P,1,8.03,P,1,9.69,P
LB,1,4,216.8,P,4,31.74,P,4,72.24,P,0,-17.07,P,0,-2.44,P,0,-5.74,P
LB,2,2,195.65,P,2,40.21,P,2,104.94,P,2,4.02,P,2,4.79,P,2,0.83,P
LB,3,0,-122.56,N,0,-64.86,P,0,-79.05,P,0,-21.9,P,1,0.46,P,0,-3.24,P
ROL,1,4,7.38,P,4,5.49,P,4,3.53,P,4,3.6,P,4,10.65,P,4,10.22,P
ROL,2,2,74.23,P,2,13.41,P,2,25.75,P,2,22.2,P,2,8.82,P,2,8.56,P
ROL,3,0,-13.61,P,0,-3.57,P,0,-5.94,P,1,13.92,P,1,6.39,P,1,6.6,P
TPR,1,4,204.38,P,4,63.99,P,4,61.33,P,0,-100.69,N,0,-17.68,P,0,-17.56,P
TPR,2,2,39.55,N,0,-33.36,P,0,-28.55,P,2,12.48,P,2,2.5,P,2,5.91,P
TPR,3,0,-182.18,N,0,-40.93,P,0,-40.54,P,0,-6.26,P,1,31.01,P,1,25.08,P
MHK,1,4,5030.43,P,4,25.62,P,4,72.36,P,0,-1.82,P,0,-0.13,P,0,-4.19,P
MHK,2,0,-103.83,N,0,-10.32,P,0,-33.14,P,0,-9.57,P,2,5.19,P,0,-4.86,P
MHK,3,0,-58.89,P,0,-5.72,P,0,-5.56,P,1,8.53,P,1,5.94,P,1,6.36,P
NCLH.N,1,4,17.55,N,0,-61.5,P,4,35.5,N,4,2.32,P,4,6.73,P,4,4.52,P
NCLH.N,2,2,22.16,N,0,-98.64,P,0,-212.71,N,2,28.36,P,2,12.21,P,2,14.81,P
NCLH.N,3,0,-759.5,N,0,-15.79,P,0,-57.41,P,1,16.42,P,1,10.71,P,1,15.24,P
SEE,1,4,19.56,P,4,7.47,P,4,3.74,P,4,42.56,P,4,1.23,P,4,4.17,P
SEE,2,0,-7.53,P,0,-1.93,P,0,-0.15,P,2,353.39,P,2,6.08,P,2,6.37,P
SEE,3,1,110.03,P,0,-9.62,P,0,-9.04,P,0,-66.07,P,1,5.94,P,1,0.79,P
PVH,1,4,954.43,P,4,34.0,P,4,24.68,P,0,-13.17,P,4,2.61,P,4,1.51,P
PVH,2,2,98.2,N,2,17.61,P,2,32.65,P,2,78.16,P,2,8.32,P,2,8.46,P
PVH,3,0,-1009.07,N,0,-48.32,P,0,-52.36,P,0,-8.45,P,1,8.68,P,1,11.99,P
LEG,1,4,857.23,P,4,42.89,P,4,82.37,P,4,9.17,P,4,11.31,P,4,18.22,P
LEG,2,0,-77.81,P,0,-19.17,P,0,-34.34,P,0,-3.42,P,2,8.26,P,2,0.71,P
LEG,3,0,-45.06,P,0,-8.68,P,0,-18.21,P,0,-1.88,P,1,5.17,P,0,-1.87,P
RL,1,4,185.13,P,4,144.82,P,4,129.25,P,0,-40.75,P,0,-2.43,P,0,-6.11,P
RL,2,2,68.76,N,0,-61.74,P,0,-41.45,P,2,15.24,P,2,2.11,P,2,3.56,P
RL,3,0,-206.65,N,0,-27.22,P,0,-45.31,P,1,88.99,P,0,-7.07,P,1,2.96,P
HBI,1,0,-36.51,P,4,4.0,P,4,0.73,P,4,8.52,P,4,2.4,P,4,3.2,P
HBI,2,2,2022.79,P,2,32.08,P,2,33.1,P,2,112.1,P,2,5.14,P,2,0.16,P
HBI,3,0,-94.29,P,0,-24.82,P,0,-32.12,P,0,-44.08,P,1,7.35,P,1,18.07,P
GPS,1,4,530.88,P,4,21.95,P,4,40.99,P,0,-37.67,P,0,-1.19,P,0,-2.99,P
GPS,2,2,96.37,N,2,55.43,P,2,328.73,P,2,29.99,P,2,4.57,P,2,4.22,P
GPS,3,0,-4746.79,N,0,-54.92,P,0,-83.99,P,0,-19.78,P,1,2.18,P,1,7.55,P
UAA,1,4,156.77,P,4,102.51,P,4,96.56,P,4,4.77,P,4,1.42,P,4,5.56,P
UAA,2,2,49.6,N,0,-23.93,P,0,-18.98,P,2,53.69,P,2,4.09,P,2,3.96,P
UAA,3,0,-1890.62,N,0,-35.45,P,0,-36.76,P,0,-63.71,P,1,3.4,P,1,0.48,P
UA,1,4,156.77,P,4,102.51,P,4,96.56,P,4,4.77,P,4,1.42,P,4,5.56,P
UA,2,2,49.6,N,0,-23.93,P,0,-18.98,P,2,53.69,P,2,4.09,P,2,3.96,P
UA,3,0,-1890.62,N,0,-35.45,P,0,-36.76,P,0,-63.71,P,1,3.4,P,1,0.48,P
